objectid,unicode,name,facility_type,type_code,center,center_code,feature_name,website,capacity,access_to_fire_extinguisher,access_to_kitchenette,access_to_parking_lot,access_to_playground,access_to_restrooms,access_to_spray_park,access_to_vending_machines,ada_accessible_facility,ada_accessible_playground_near,ada_accessible_port_a_john_near,ada_accessible_restroom,bocci_court,furniture_chairs,furniture_tables,indoor_air_conditioning,indoor_audio_system,indoor_heating,indoor_television,outdoor_basketball_courts_nea,outdoor_fishing,outdoor_grill,outdoor_horseshoe_pits_near,outdoor_lake_view,outdoor_lighting,outdoor_swimming_pool_near,outdoor_volleyball,outdoor_water_spigot,outlet_data,outlet_power,outlet_telephone,pet_friendly,port_a_john_near,smoking_not_permitted,smoking_permitted,x,y
1681,,New Dimension,Shelter,130,Boyce Park,BP,New Dimension,https://www.alleghenycounty.us/parks/boyce/new-dimension.aspx,35,No,No,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,-79.73589723,40.47509974
1682,,Pack,Shelter,130,Boyce Park,BP,Pack,https://www.alleghenycounty.us/parks/boyce/pack.aspx,50,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,-79.74611411,40.47235379
1683,,Patrol,Shelter,130,Boyce Park,BP,Patrol,https://www.alleghenycounty.us/parks/boyce/patrol.aspx,60,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,-79.75156813,40.46632923
1684,,Primrose,Shelter,130,Boyce Park,BP,Primrose,https://www.alleghenycounty.us/parks/boyce/primrose.aspx,35,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,-79.75065521,40.47065815
1685,,Silver Beaver,Shelter,130,Boyce Park,BP,Silver Beaver,https://www.alleghenycounty.us/parks/boyce/silver-beaver.aspx,150,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,-79.73777078,40.47370452
1686,,Star,Shelter,130,Boyce Park,BP,Star,https://www.alleghenycounty.us/parks/boyce/star.aspx,60,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,-79.75157034,40.47311485
1687,,Tanglewood,Shelter,130,Boyce Park,BP,Tanglewood,https://www.alleghenycounty.us/parks/boyce/tanglewood.aspx,35,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,-79.74927145,40.47184784
1688,,Middle Road Site,Building,10,Hartwood Acres Park,HA,Middle Road Site,https://www.alleghenycounty.us/parks/hartwood/middle-road-site.aspx,5000,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,-79.92382242,40.56711908
1689,,Middle Road Stage And Dressing Room,Building,10,Hartwood Acres Park,HA,Middle Road Stage And Dressing Room,https://www.alleghenycounty.us/parks/hartwood/middle-road-stage-and-dressing-room.aspx,5000,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,-79.92351583,40.56768717
1690,,"Mansion, Terrace, And Hemlock Court",Wedding Site,140,Hartwood Acres Park,HA,"Mansion, Terrace, And Hemlock Court",https://www.alleghenycounty.us/parks/hartwood/wedding-and-party-rentals.aspx,200,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,-79.90902754,40.57018881
